,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
132,Long Island Rail Road massacre,"Garden City, New York",1993-12-07,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,35,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",Yes,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,black,Male,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm,40.7267682,-73.6342955,Spree,1993.0,
133,Luigi's shooting,"Fayetteville, North Carolina",1993-08-06,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,22,No,"He had an abusive father, who committed suicide.",Yes,Unknown,"One rifle, two shotguns",.22-caliber rifle; two 12-gauge shotguns,white,Male,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en",35.0529931,-78.8787058,Mass,1993.0,
134,101 California Street shootings,"San Francisco, California",1993-07-01,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,55,No,"He was down on his luck because of failed business decisions. One acquaintance said, ""He was the least likely guy you can imagine doing something like that.""  His ex-wife said he ""hated violence.""",No,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),"Two Intratec DC-9, .45-caliber Colt semiautomatic handguns",white,Male,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,37.792968,-122.397973,Mass,1993.0,
135,Watkins Glen killings,"Watkins Glen, New York",1992-10-15,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,50,Yes,"The day before the shooting, he told child-support collection office workers that he was considering suicide. He had been convicted of felonious assault for pointing a revolver at police officers responding to a domestic violence report at this girlfriend's apartment. ",Yes,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,9mm Llama semiautomatic handgun,white,Male,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,42.3810555,-76.8705777,Mass,1992.0,
136,Lindhurst High School shooting,"Olivehurst, California",1992-05-01,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,20,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",Yes,Local gun retailer,"One rifle, one shotgun",.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,white,Male,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php,39.078687605881,-121.547576173493,Mass,1992.0,
137,Royal Oak postal shootings,"Royal Oak, Michigan",1991-11-14,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,31,Yes,Police revoked his CCW permit after determining he was mentally unstable.,Yes,Local gun store,One rifle,.22-caliber Ruger sawed-off semiautomatic rifle,white,Male,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,42.4894801,-83.1446485,Mass,1991.0,
138,University of Iowa shooting,"Iowa City, Iowa",1991-11-01,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,28,Unclear,He was described as darkly disturbed and isolated.,Yes,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,Asian,Male,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm,41.6606893,-91.5302214,Spree,1991.0,
139,Luby's massacre,"Killeen, Texas",1991-10-16,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,35,No,"Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""",Yes,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",white,Male,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm,http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm,31.1171194,-97.7277959,Mass,1991.0,
140,GMAC massacre,"Jacksonville, Florida",1990-06-18,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,42,No,"Police speculated he had a ""grudge"" against the people he killed. ",Yes,Unknown,"One rifle, one revolver",.30-caliber Universal M1 carbine rifle; .38-caliber revolver,black,Male,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm,http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm,30.3321838,-81.655651,Mass,1990.0,
141,Standard Gravure shooting,"Louisville, Kentucky",1989-09-14,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,47,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",Yes,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",white,Male,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm,http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm,38.2542376,-85.759407,Mass,1989.0,
142,Stockton schoolyard shooting,"Stockton, California",1989-01-17,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,26,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",Yes,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,white,Male,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html",http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html",37.9577016,-121.2907796,Mass,1989.0,
143,ESL shooting,"Sunnyvale, California",1988-02-16,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,39,Yes,"He stalked and harassed his colleague Laura Black for four years until she was granted a temporary restraining order aginst him. Before he was fired for his bizarre behavior, he was ordered to undergo psychological counseling. ",Yes,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",white,Male,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en",http://books.google.com/books?id=JiQUkwBnzgYC&pg=PA44&lpg=PA44&dq=richard+farley+ESL+psychological&source=bl&ots=PqxDlDtznK&sig=K-p8vEN7M2AEdRC0KpxVHjXZN7M&hl=en#v=onepage&q=richard%20farley%20ESL%20psychological&f=false; http://caselaw.findlaw.com/ca-supreme-court/1295931.html,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en",37.3688301,-122.0363496,Mass,1988.0,
144,Shopping centers spree killings,"Palm Bay, Florida",1987-04-23,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,59,Yes,"He suffered from paranoid delusions. A judge found that he suffered from ""extreme mental illness.""",Yes,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla.","One rifle, one revolver, one shotgun","Sturm, Ruger Mini-14 semiautomatic rifle; 20-gauge Winchester pump-action shotgun; .357 Ruger Blackhawk revolver",white,Male,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police,(Supreme Court of Florida Document) http://www.murderpedia.org/male.C/images/cruse_william_b/op-74656.pdf,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police,28.0331886,-80.6429695,Spree,1987.0,
145,United States Postal Service shooting,"Edmond, Oklahoma",1986-08-20,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,44,Unclear ,He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.,Yes,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",white,Male,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en",http://newsok.com/sherrill-feared-mental-illness-rejected/article/2177416,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en",35.6672015,-97.4293703650031,Mass,1986.0,
146,San Ysidro McDonald's massacre,"San Ysidro, California",1984-07-18,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,41,Yes,"The day before the shooting, he tried to make an appointment at a mental health clinic. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun,white,Male,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm,http://www.nctimes.com/news/local/article_2ba4343e-7009-54ce-98df-79a23ff8d0d7.html,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm,32.5520013,-117.0430813,Mass,1984.0,
147,Dallas nightclub shooting,"Dallas, Texas",1984-06-29,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,39,Yes,"During his last meal with his wife, he confessed he was depressed and had visited psychiatric hospitals in Belgium.",No,"Hines Boulevard Pawn Shop in Dallas, Texas",One semiautomatic handgun,9mm Smith & Wesson 459 semiautomatic handgun,white,Male,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false",http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false",32.925166,-96.838676,Mass,1984.0,
148,Welding shop shooting,"Miami, Florida",1982-08-20,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,51,Yes,"His second wife left him because he refused to seek psychological help. He had become increasingly isolated. One former student said he was ""off his rocker.""",Yes,"Garcia Gun Center in Hialeah, Fla.",One shotgun,Mossberg 500 Persuader pump-action shotgun with pistol grip,white,Male,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html,"http://news.google.com/newspapers?id=uuYLAAAAIBAJ&sjid=C1kDAAAAIBAJ&pg=4879,1435085&dq=carl+robert+brown",http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html,25.796491,-80.226683,Mass,1982.0,
149,Las Vegas Strip mass shooting,"Las Vegas, NV",2017-10-01,,58,515,573,,,Unclear,,,,,,,,,,,,,,,1.0
153,Rural Ohio nursing home shooting,"Kirkersville, Ohio",2017-05-12,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,,,Yes,,,,,,White,M,,,,,,,,5.0
155,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",2017-01-06,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him.",5,6,11,,,Yes,,,,,,Latino,M,,,,,,,,7.0
156,Cascade Mall shooting,"Burlington, WA",2016-09-23,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a MacyÃ¢â¬â¢s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence.",5,0,5,,,Yes,,,,,,,M,,,,,,,,8.0
157,Baton Rouge police shooting,"Baton Rouge, LA",2016-07-17,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,,,Yes,,,,,,Black,M,,,,,,,,9.0
160,"Ferguson, MO Drive by","Ferguson, Missouri",2016-04-29,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,38.744.217,-90.305.391,,,12.0
161,"Forestville, Maryland Drive-by","Forestville, Maryland",2016-04-26,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,,,Unknown,,,,,,Unknown,Unknown,,,,38.845.113,-76.874.972,,,13.0
162,"Halifax County, VA","South Hill, Virginia",2016-04-24,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,,,Unknown,,,,,,Black American or African American,Male,,,,36.765.971,-78.928.344,,,14.0
163,Tire-Slashing revenge escalation,"Baltimore, Maryland ",2016-04-21,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,,,Unknown,,,,,,Black American or African American,Male,,,,39.290.385,-76.612.189,,,15.0
164,Chicago Rap video Shootout,"Chicago, Illinois",2016-04-19,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,,,Unknown,,,,,,Unknown,Unknown,,,,41.878.114,-87.629.798,,,16.0
165,Texas family murder-suicide,"Houston, Texas",2016-04-19,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,,,Unknown,,,,,,White American or European American,Male,,,,29.785.785,-95.824.396,,,17.0
166,Alabama highway random shooting,"Cullman, Alabama",2016-04-19,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,,,Yes,,,,,,White American or European American,Male,,,,3.416.204,-86.475.543,,,18.0
167,Long Beach Street murder,"Long Beach, California",2016-04-18,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,,,Unknown,,,,,,Unknown,Unknown,,,,3.377.005,-118.193.739,,,19.0
168,"Albuquerque, NM House party shooting","Albuquerque, New Mexico",2016-04-09,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,,,Unknown,,,,,,White American or European American,Male,,,,35.085.334,-106.605.553,,,20.0
169,"Memphis, TN gas station shooting","Memphis, Tennessee",2016-04-09,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,35.149.534,-9.004.898,,,21.0
170,Chicago Birthday Party Bus Shooting,"Chicago, Illinois",2016-04-07,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,,,Unknown,,,,,,Unknown,Unknown,,,,41.878.114,-87.629.798,,,22.0
171,"Albuquerque, NM Family restaurant shooting","Albuquerque, New Mexico",2016-04-01,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,,,Unknown,,,,,,Asian American,Male,,,,35.085.334,-106.605.553,,,23.0
172,"Richmond, Virginia","Richmond, Virginia",2016-03-31,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooperâs immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,,,Unknown,,,,,,Black American or African American,Male,,,,37.540.725,-77.436.048,,,24.0
173,"Louisburg, North Carolina","Louisburg, North Carolina",2016-03-26,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday â the day before the shootings.",3,0,3,,,Unknown,,,,,,Black American or African American,Male,,,,36.099.039,-78.301.106,,,25.0
174,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",2016-03-25,The man was suspected of shooting his wife and two sons on Friday morning at the familyâs home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,,,Unknown,,,,,,Unknown,Male,,,,35.242.302,-87.334.739,,,26.0
175,"Greenhill, AL Family murder-suicide","Huntsville, Alabama",2016-03-25,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,,,Yes,,,,,,White American or European American,Male,,,,34.759.257,-86.602.493,,,27.0
176,"Sherman, Texas","Sherman, Texas",2016-03-21,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,,,Unknown,,,,,,Unknown,Male,,,,33.635.662,-9.660.888,,,28.0
177,"Sherman, TX Family murder-suicide","Sherman, Texas",2016-03-21,"Husband murders his wife and two young children in Sherman, TX, then commits suicide",4,0,3,,,Unknown,,,,,,White American or European American,Male,,,,33.635.662,-9.660.888,,,29.0
